Player;Player_id;Team(s);First;Last;Championships Won
Bill Russell;610;BOS;1957;1969;11
Sam Jones;652;BOS;1959;1969;10
John Havlicek;778;BOS;1963;1976;8
Tom Heinsohn;633;BOS;1957;1965;8
K.C. Jones;671;BOS;1959;1966;8
Tom Sanders;718;BOS;1961;1969;8
Robert Horry;2747;HOU/LAL/SAS;1994;2007;7
Jim Loscutoff;598;BOS;1957;1964;7
Frank Ramsey;559;BOS;1957;1964;7
Kareem Abdul-Jabbar;1204;MIL/LAL;1971;1988;6
Bob Cousy;420;BOS;1957;1963;6
Michael Jordan;2193;CHI;1991;1998;6
Scottie Pippen;2394;CHI;1991;1998;6
Kobe Bryant;3000;LAL;2000;2010;5
Michael Cooper;1823;LAL;1980;1988;5
Tim Duncan;3092;SAS;1999;2014;5
Derek Fisher;2979;LAL;2000;2010;5
Ron Harper;2335;CHI/LAL;1996;2001;5
Magic Johnson;1878;LAL;1980;1988;5
Steve Kerr;2467;CHI/SAS;1996;2003;5
Slater Martin;406;MNL/STL;1950;1958;5
George Mikan;246;MNL;1949;1954;5
Don Nelson;770;BOS;1966;1976;5
Jim Pollard;261;MNL;1949;1954;5
Dennis Rodman;2301;DET/CHI;1989;1998;5
Larry Siegfried;806;BOS;1964;1969;5
Stephen Curry;3903;GSW;2015;2022;4
Manu Ginóbili;3401;SAS;2003;2014;4
Horace Grant;2361;CHI/LAL;1991;2001;4
Draymond Green;4085;GSW;2015;2022;4
Gene Guarilia;688;BOS;1960;1963;4
Andre Iguodala;3500;GSW;2015;2022;4
LeBron James;3463;MIA/CLE/LAL;2012;2020;4
Vern Mikkelsen;410;MNL;1950;1954;4
Shaquille O'Neal;2751;LAL/MIA;2000;2006;4
Robert Parish;1723;BOS/CHI;1981;1997;4
Tony Parker;3356;SAS;2003;2014;4
Will Perdue;2477;CHI/SAS;1991;1999;4
Kurt Rambis;2017;LAL;1982;1988;4
John Salley;2312;DET/CHI/LAL;1989;2000;4
Pep Saul;398;ROC/MNL;1951;1954;4
Bill Sharman;419;BOS;1957;1961;4
Klay Thompson;4036;GSW;2015;2022;4
Jamaal Wilkes;1587;GSW/LAL;1975;1985;4
B.J. Armstrong;2482;CHI;1991;1993;3
Larry Bird;1875;BOS;1981;1986;3
Bruce Bowen;2975;SAS;2003;2007;3
Randy Brown;2678;CHI;1996;1998;3
Jud Buechler;2596;CHI;1996;1998;3
Bill Cartwright;1849;CHI;1991;1993;3
Sam Cassell;2822;HOU/BOS;1994;2008;3
Gene Conley;491;BOS;1959;1961;3
James Edwards;1757;DET/CHI;1989;1996;3
Mario Elie;2610;HOU/SAS;1994;1999;3
Rick Fox;2680;LAL;2000;2002;3
Devean George;3183;LAL;2000;2002;3
A.C. Green;2218;LAL;1987;2000;3
Danny Green;3867;SAS/TOR/LAL;2014;2020;3
Bob Harrison;310;MNL;1950;1953;3
Udonis Haslem;3491;MIA;2006;2013;3
Gerald Henderson;1864;BOS/DET;1981;1990;3
Dennis Johnson;1701;SEA/BOS;1979;1986;3
James Jones;3449;MIA/CLE;2012;2016;3
Stacey King;2546;CHI;1991;1993;3
Toni Kukoč;2829;CHI;1996;1998;3
Shaun Livingston;3560;GSW;2015;2018;3
Luc Longley;2669;CHI;1996;1998;3
Kevon Looney;4342;GSW;2017;2022;3
Clyde Lovellette;516;MNL/BOS;1954;1964;3
Patrick McCaw;4439;GSW/TOR;2017;2019;3
JaVale McGee;3824;GSW/LAL;2017;2020;3
Kevin McHale;1938;BOS;1981;1986;3
Willie Naulls;634;BOS;1964;1966;3
John Paxson;2127;CHI;1991;1993;3
Byron Scott;2107;LAL;1985;1988;3
Brian Shaw;2410;LAL;2000;2002;3
Paul Silas;834;BOS/SEA;1974;1979;3
Dickey Simpkins;2851;CHI;1996;1998;3
Whitey Skoog;474;MNL;1952;1954;3
Dwyane Wade;3445;MIA;2006;2013;3
Bill Wennington;2224;CHI;1996;1998;3
Scott Williams;2617;CHI;1991;1993;3
James Worthy;2067;LAL;1985;1988;3
